Indexed from docIDs:37261,37913,37914,37915,37916,37917,37918,37919,37920,37921,37922,37923,37924,37925,37926,37927,37928,37929,37930,37931,37932,37933,37934,37935,37936,37937,37938,37939,37940,37941,37942,37943,37944,37945,37946,37947,37948,37949,37950,37951,37952,37953,37954,37955,37956,37957,37958,37959,37960,37961,37962,37963,38099,38214,38215,38216,38217,38218,38219,38220,38221,38222,38223,38224,38225,38226,38227,38228,38229,38230,38231,38232,38233,38234,38235,38236,38237,38238,38239,38240,38241,38242,38243,38244,38245,38246,38247,38248,38249,38250,38251,38252,38253,38254,38255,38256,38257,38258,38259,38260,38261,38262,38263,38264,38265,38266,38267,38268,38269,38270,38271,38272,38273,38274,38275,38276,38277,38278,38279,38280,38281,38282,38283,38284,38285,38286,38287,38288,38289,38290,38291,38292,38293,38294,38295,38296,38297,38298,38299,38300,38301,38302,38303,38304,38305,38306,38307,38308,38309,38310,38311,38312,38313,38314,38315,38316,38317,38318,38319,38320,38321,38322,38323,38324,38325,38326,38327,38328,38329,38330,38331,38332,38333,38334,38335,38336,38337,38338,38339,38340,38341,38342,38343,38344,38345,38346,38347,38348,38349,38350,38351,38352,38353,38354,38355,38356,38357,38358,38359,38360,38361,38362,38363,38364,38365,38366,38367,38368,38369,38370,38371,38372,38373,38374,38375,38376,38377,38378,38379,38380,38381,38382,38383,38384,38385,38386,38387,38388,38389,38390,38391,38392,38393,38394,38395,38396,38397,38398,38399,38400,38401,38402,38403,38404,38405,38406,38407,38408,38409,38410,38411,38412,38413,38414,38415,38416,38417,38418,38420,38421,38422,38423,38424,38425,38426,38427,38428,38429,38430,38431,38432,38433,38434,38435,38436,38437,38438,38439,38440,38441,38442,38443,38444,38445,38446,38447,38448,38449,38450,38451,38452,38453,38454,38455,38456,38457,38458,38459,38460,38461,38462,38463,38464,38465,38466,38467,38468,38469,38470,38471,38472,38473,38474,38475,38476,38477,38478,38479,38480,38481,38482,38483,38484,38485,38486,38487,38488,38489,38490,38491,38492,38493,38494,38495,38496,38497,38498,38499,38500,38501,38502,38503,38504,38505,38506,38507,38508,38509,38510,38511,38512,38513,38514,38515,38516,38517,38518,38519,38520,38521,38522,38523,38524,38525,38526,38527,38528,38529,38530,38531,38532,38533,38534,38535,38536,38537,38538,38539,38540,38541,38542,38543,38544,38545,38546,38547,38548,38549,38550,38551,38552,38553,38554,38555,38556,38557,38558,38559,38560,38561,38562,38563,38564,38565,38566,38567,38568,38569,38570,38571,38572,38573,38574,38575,38576,38577,38578,38579,38580,38581,38582,38583,38584,38585,38586,38587,38588,38589,38590,38591,38592,38593,38594,38595,38596,38597,38598,38599,38600,38601,38602,38603,38604,38605,38606,38607,38608,38609,38610,38611,38612,38613,38614,38615,38616,38617,38618,38619,38620,38621,38622,38623,38624,38625,38626,38627,38628,38629,38630,38631,38632,38633,38634,38635,38636,38637,38638,38639,38640,38641,38642,38643,38644,38645,38646,38647,38648,38649,38650,38651,38652,38653,38654,38655,38656,38657,38658,38659,38660,38661,38662,38663,38664,38665,38666,38667,38668,38669,38670,38671,38672,38673,38674,38675,38676,38677,38678,38679,38680,38681,38682,38683,38684,38685,38686,38687,38688,38689,38690,38691,38692,38693,38694,38695,38696,38697,38698,38699,38700,38701,38702,38703,38704,38705,38706,38707,38708,38709,38710,38711,38712,38713,38714,38715,38716,38717,38718,38719,38720,38721,38722,38723,38724,38725,38726,38727,38728,38729,38730,38731,38732,38733,38734,38735,38736,38737,38738,38739,38740,38741,38742,38743,38744,38745,38746,38747,38748,38749,38750,38751,38752,38753,38754,38755,38756,38757,38758,38759,38760,38761,38762,38763,38764,38765,38766,38767,38768,38769,38770,38771,38772,38773,38774,38775,38776,38777,38778,38779,38780,38781,38782,38783,38784,38785,38786,38787,38788,38789,38790,38791,38792,38793,38794,38795,38796,38797,38798,38799,38800,38801,38802,38803,38804,38805,38806,38807,38808,38809,38810,38811,38812,38813,38814,38815,38816,38817,38818,38819,38820,38821,38822,38823,38824,38825,38826,38827,38828,38829,38830,38831,38832,38833,38834,38835,38836,38837,38838,38839,38840,38841,38842,38843,38844,38845,38846,38847,38848,38849,38850,38851,38852,38853,38854,38855,38856,38857,38858,38859,38860,38861,38862,38863,38864,38865,38866,38867,38868,38869,38870,38871,38872,38873,38874,38875,38876,38877,38878,38879,38880,38881,38882,38883,38884,38885,38886,38887,38888,38889,38890,38891,38892,38893,38894,38895,38896,38897,38898,38899,38900,38901,38902,38903,38904,38905,38906,38907,38908,38909,38910,38911,38912,38913,38914,38915,38916,38917,38918,38919,38920,38921,38922,38923,38924,38925,38926,38927,38928,38929,38930,38931,38932,38933,38934,38935,38936,38937,38938,38939,38940,38941,38942,38943,38944,38945,38946,38947,38948,38949,38950,38951,38952,38953,38954,38955,38956,38957,38958,38959,38960,38961,38962,38963,38964,38965,38966,38967,38968,38969,38970,38971,38972,38973,38975,38976,38977,38978,38979,38980,38981,38982,38983,38984,38985,38986,38987,38988,38989,38990,38991,38992,38993,38994,38995,38996,38997,38998,38999,39000,39001,39002,39003,39004,39005,39006,39007,39008,39009,39010,39011,39012,39013,39014,39015,39016,39017,39018,39019,39020,39021,39022,39023,39024,39025,39026,39027,39028,39029,39030,39031,39032,39033,39034,39035,39036,39037,39038,39039,39040,39041,39042,39043,39044,39045,39046,39047,39048,39049,39050,39051,39052,39053,39054,39055,39056,39057,39058,39059,39060,39061,39062,39063,39064,39065,39066,39067,39068,39069,39070,39071,39072,39073,39074,39075,39076,39077,39078,39079,39080,39081,39082,39083,39084,39487,39488,39489,39490,39495,39496,39497,39498,39499,39500,39615,39617,39618,39619,39620,39621,39622,39623,39624,39625,39626,39627,39628,39629,39630,39631,39632,39633,39634,39635,39636,39637,39638,39639,39640,39641,39642,39643,39644,39645,39646,39647,39648,39649,39650,39651,39652,39653,39654,39655,39656,39657,39658,39659,39660,39661,39662,39663,39664,39665,39666,39667,39668,39669,39670,39671,39672,39673,39674,39675,39676,39677,39736,39737,39738,40008,40027,40062,
 111 0
circuitri 1 444
csam.lbl.gov 2 448
buckey 1 456
15:51:44 1 460
cui.unige.ch 2 464
comp.graphics:39672 1 472
comp.graphics:39673 1 476
comp.graphics:39674 1 480
yellow 4 484
interchang 6 500
four 26 524
____/\ 1 628
polytechniqu 2 632
5000/200 1 640
drucker 1 644
xgopher_client.shar 1 648
abh 2 652
news.stolaf.edu 1 660
00:49:42 1 664
ethernet 2 668
x11.r5 2 676
code3.code3.com 1 684
xv221 3 688
pager 5 700
comp.graphics:39670 1 720
1993apr5.185035.15108 1 724
comp.graphics.animation:2850 1 728
abildskov 1 732
08:01:20 1 736
lord 6 740
comp.unix.questions:55760 1 764
lyapunov.ucsd.edu 2 768
3dv 2 776
digit 64 784
ltqp28innpa7 4 1040
comp.graphics:39019 1 1056
inala 1 1060
slab-o-oti 1 1064
welfag.elektro.uni-wuppertal.d 1 1068
comp.graphics:39015 1 1072
comp.graphics:39010 1 1076
bratislava 1 1080
simillar 1 1084
friday-sunday 1 1088
lumin 2 1092
foul 1 1100
15-36mp/ 1 1104
1993apr21.200126.8855 1 1108
rashli 1 1112
data.. 2 1116
rotating/zooming/anim 1 1124
fractal 22 1128
3__________ 1 1216
07:25:54 1 1220
elvi 1 1224
x11r5+motif 1 1228
+/- 1 1232
prize 4 1236
showcas 4 1252
mycdb 1 1268
-272-6763 2 1272
y14.26m-1987 3 1280
ditolla 2 1292
ftcollinsco.ncr.com 1 1300
factori 1 1304
oooo 1 1308
23:34:03 1 1312
12:03:58 1 1316
oook 1 1320
calendar 1 1324
129.219.30.6 1 1328
edited/modifi 1 1332
straight 8 1336
asian 1 1368
rusti 1 1372
algo_count 1 1376
============================= 4 1380
comp.os.msdos.pcgeos:3757 1 1396
p_i 1 1400
jpeg-rel 3 1404
miller 2 1416
c5uy6c.92b 1 1424
p_c 1 1428
turbopasc 1 1432
histor 5 1436
second 46 1456
poley=radiu 1 1640
mcrcim 1 1644
dmd2.93may2114742 1 1648
265-272 2 1652
himem.si 2 1660
mlm 1 1668
targa 16 1672
sturt 1 1736
luxo 1 1740
white-out 1 1744
baud,16.8k 2 1748
1993apr26.212643.26476 1 1756
eighth 3 1760
glass_ 1 1772
c5ya8u.c4g 2 1776
bellevu 1 1784
xgrasp 1 1788
dominik 3 1792
kent 1 1804
gaspra 1 1808
comp.realtime:3760 1 1812
dmorfx 1 1816
usenet 191 1820
roddi 1 2584
1pp991 3 2588
seti 2 2600
calvin.edu 1 2608
daalo3-89-c-0038 2 2612
specialist 2 2620
cpuserver.acsc.com 3 2628
intellectu 3 2640
c5rads.kyt 1 2652
mlt 1 2656
server.cs.virginia.edu 1 2660
news.duke.edu 5 2664
1qk30jinnskb 1 2684
16bb58b33.d1sar 2 2688
1qlobb 13 2696
jfif-format 3 2748
pnmconvol 3 2760
here 1 2772
highpass 1 2776
dore 2 2780
tamarack202 1 2788
newsadm 1 2792
china 1 2796
linux+x+countless 1 2800
alt.binaries.pictures.erotica.d:15192 1 2804
dorm 1 2808
p_4 1 2812
ee90dhg 1 2816
p_2 1 2820
p_3 1 2824
p_1 1 2828
i'v 6 2832
nsfnet-relay.ac.uk 2 2856
rd1.interlan.com 1 2864
ram/vram 1 2868
izer 1 2872
hv 6 2876
militari 2 2900
473-6351 2 2908
substanci 1 2916
newsfeed.rice.edu 3 2920
flyer 1 2932
kidd 1 2936
b.kidd 1 2940
comp.databases:25105 1 2944
seqanalref 1 2948
ruskin 2 2952
milchstrasse_ 1 2960
perutz.scripps.edu 2 2964
cs.utexas.edu 153 2972
j.c. 7 3584
tredysvr 2 3612
17:20:11 1 3620
carl 1 3624
ulyss 1 3628
c56q9h.ayq 1 3632
cofmment 1 3636
9b 2 3640
miniva 1 3648
tremend 5 3652
heimdal 1 3672
truetyp 3 3676
=spencer 1 3688
unix 74 3692
topographi 2 3988
woodi 1 3996
sterl 4 4000
stern 3 4016
stjohn 2 4028
xyvis 1 4036
*pbmplus.tar.z* 2 4040
univ 30 4048
tonight 1 4168
unit 42 4172
howland.reston.ans.net 572 4340
dna 3 6628
spoke 2 6640
04:24:09 1 6648
guraldi.itn.med.umich.edu 1 6652
1qf2m0 2 6656
trackbal 2 6664
borrow 4 6672
shograph 2 6688
asuacad 1 6696
music 15 6700
comp.human-factors:4694 1 6760
passport 1 6764
-ken 2 6768
strike 2 6776
lori 1 6784
tc1 1 6788
0-8306-3059-7 2 6792
*vogle* 2 6800
gif89a 3 6808
m.sc 2 6820
/nfs/gopher.ex 1 6828
sull 1 6832
18:46:18 1 6836
relay 3 6840
relax 1 6852
1993apr29.052716.27114 1 6856
taxonomi 1 6860
notif 2 6864
x3.124.1-1985 1 6872
notic 29 6876
hurt 4 6992
8514/a 4 7008
glass 6 7024
exce 1 7048
erc.msstate.edu 1 7052
merlot.welch.jhu.edu 2 7056
holi 2 7064
biblio 3 7072
supervga 4 7084
hole 10 7100
recommand 1 7140
8-bit-per-pixel 3 7144
x-original-newsgroup 1 7156
woodwark 1 7160
prism 1 7164
inund 1 7168
accid 3 7172
1s1jbt 1 7184
holzapf 1 7188
sci.bio:11831 1 7192
sci.bio:11830 1 7196
gamma_corrected_imag 1 7200
_________pratic 1 7204
books'87___ 1 7208
conceptu 1 7212
postgradu 5 7216
yup 2 7236
realspac 1 7244
ultrason 2 7248
world/campus-wid 1 7256
eos.arc.nasa.gov 1 7260
mid-infrar 1 7264
airticket 1 7268
cerebrum 1 7272
763-3067 1 7276
wang 10 7280
mcs.anl.gov 1 7320
jwt 4 7324
kaprow 1 7340
two-dimension 1 7344
swivel 4 7348
cautiou 1 7364
caution 4 7368
want 181 7384
_me_ 1 8108
a5 1 8112
sulo 1 8116
dyke 1 8120
hog 3 8124
beowulf.b11.ingr.com 1 8136
shuffl 3 8140
vicent 1 8152
ncsu.1993apr6.051201.9535 1 8156
fstop.csc.ti.com 2 8160
travel 7 8168
alice.att.com 2 8196
18:07:50 1 8204
featurf 1 8208
hoi 2 8212
